Id,year,PM25 microgram per cubic metter,Province,Country name,LC_urban_areas,Average_wind_speed,Pop density heads per Sqkm,Average_precipitation,Maximum_temperature,Cars,Buses,Trucks,Motorcycles,Green_area
33,2022.0,12.0706984274,Johor,Malaysia,521838434.2119545,1.7017877095,191.32763424024057,175.55877095,31.2245810056,,0.0,,0.0,18479472909.16521
34,2012.0,17.0425646903,Kedah,Malaysia,174539739.514,1.77522421525,175.518322133,165.221973094,31.591793722,,104.66671753323972,,99890.34142038904,9249916858.791435
34,2013.0,16.3417664446,Kedah,Malaysia,211005585.566,1.94049327354,178.99062223,147.171524664,31.8928251121,,92.66670037945097,,89411.84907744391,9213657813.374035
34,2014.0,17.4475730632,Kedah,Malaysia,222793222.002,2.50816143498,182.558984373,58.5899103139,31.2312331839,,80.66668322566224,,78933.35673449878,9195459357.128927
34,2015.0,20.3993948589,Kedah,Malaysia,229548709.551,2.23921524664,186.242543412,55.3600896861,31.6921076233,,68.6666660718735,,68454.86439155365,9188841736.677526
34,2016.0,15.6554268035,Kedah,Malaysia,243611153.019,1.86733183857,190.026190077,94.6237668161,32.6670403587,,56.66664891808476,,57976.37204860853,9176226897.690527
34,2017.0,14.6626625488,Kedah,Malaysia,246437428.422,2.04585201794,193.932324754,196.623318386,31.448206278,,44.66663176429603,,47497.87970566341,9174158891.282936
34,2018.0,15.4880391441,Kedah,Malaysia,248436501.268,1.38565022422,197.915595537,205.57309417,31.480044843,,32.66661461050728,,37019.38736271828,9173331688.727037
34,2019.0,18.4803270144,Kedah,Malaysia,250366640.567,1.89484304933,202.057226132,92.0849775785,32.6834080717,,24.0,,27221.0,9171401549.434467
34,2020.0,14.3302690862,Kedah,Malaysia,251814245.042,2.16659192825,206.296182344,21.6589686099,33.3753363229,,2.0,,14702.0,9169953944.969467
34,2021.0,13.8349555762,Kedah,Malaysia,272230063.70438886,2.17286995516,210.28986748811963,62.6937219731,31.4551569507,,0.0,,6264.0,9148197751.788628
34,2022.0,15.5649285463,Kedah,Malaysia,280486004.77968884,2.1201793722,214.07118451041848,26.3755605381,32.8112107623,,0.0,,0.0,9139771774.633545
35,2012.0,17.1133543776,Kelantan,Malaysia,45771874.8173,1.48990182328,84.5658887446,551.267741935,27.9480645161,,0.0,,2159.690530220462,15071148052.607702
35,2013.0,15.2784437558,Kelantan,Malaysia,66245138.1016,1.556914446,85.7118563723,489.403506311,28.1433660589,,0.0,,2556.2120434371873,15050674789.324253
35,2014.0,16.5748119432,Kelantan,Malaysia,80514382.2088,1.83037868163,86.8334409935,186.510659187,27.4397054698,,0.0,,2952.733556653913,15037853149.702213
35,2015.0,20.9132896498,Kelantan,Malaysia,88234939.4069,1.66774193548,88.0015496844,180.633800842,28.0423141655,,0.0,,3349.255069870639,15030132592.500202
35,2016.0,14.5823505598,Kelantan,Malaysia,90716547.0777,1.60625525947,89.1686587735,221.763955119,29.093828892,,0.0,,3745.7765830873645,15027650984.82872
35,2017.0,13.4134837845,Kelantan,Malaysia,91268015.449,1.66638148668,90.3836744767,475.297335203,27.8438990182,,0.0,,4142.29809630409,15027099516.458021
35,2018.0,14.5441397801,Kelantan,Malaysia,91336948.9954,0.899298737728,91.5907341936,676.086956522,27.7301542777,,0.0,,4538.819609520816,15027030582.90082
35,2019.0,17.6441559374,Kelantan,Malaysia,91474816.0882,1.51178120617,92.8642558175,173.146423562,29.6239831697,,0.0,,5489.0,15026892715.82232
35,2020.0,13.296699824,Kelantan,Malaysia,91612683.1811,1.7603085554,94.1185041465,195.715007013,29.3945301543,,0.0,,4224.0,15026754848.72849
35,2021.0,12.9798349898,Kelantan,Malaysia,105552578.12208055,1.71178120617,95.25356654045181,291.689761571,28.0497896213,,1.0,,6282.0,15013337699.84689
