Province,Cars,Buses,Trucks,Motorcycles,Total,year
Kalimantan Selatan,242329,3206,145540,2489524,2880599,2022
Kalimantan Timur,298458,6566,199819,2825555,3330398,2022
Kalimantan Utara,15106,118,9310,159761,184295,2022
Sulawesi Utara,137480,1378,71999,848200,1059057,2022
Sulawesi Tengah,97094,960,53356,1159010,1310420,2022
Sulawesi Selatan,564060,3996,208317,3898089,4674462,2022
Sulawesi Tenggara,195639,545,42404,813280,1051868,2022
Gorontalo,38460,345,28227,426195,493227,2022
Sulawesi Barat,23385,305,14197,357415,395302,2022
Maluku,25879,467,14477,306212,347035,2022
Maluku Utara,21340,147,13442,292789,327718,2022
Papua Barat,36858,373,18352,319982,375565,2022
Papua,35280,852,24804,416031,476967,2022
Indonesia,17175632,241215,5528669,125267349,148212865,2022
